CodeID,Sex,Age,TrialType,Order,TrialNumber,LookingTime
1,M,8.7,Lemon,LemonFirst,1,3.23
1,M,8.7,Apple,LemonFirst,2,1.60
2,F,2.8,Apple,AppleFirst,1,7.37
2,F,2.8,Lemon,AppleFirst,2,2.07
3,M,6.7,Apple,AppleFirst,1,3.10
3,M,6.7,Lemon,AppleFirst,2,4.70
4,F,3.6,Apple,AppleFirst,1,4.63
4,F,3.6,Lemon,AppleFirst,2,4.10
5,M,6.7,Lemon,LemonFirst,1,1.73
5,M,6.7,Apple,LemonFirst,2,1.67
6,F,8.8,Apple,AppleFirst,1,3.33
6,F,8.8,Lemon,AppleFirst,2,2.23
7,M,2.7,Lemon,LemonFirst,1,7.60
7,M,2.7,Apple,LemonFirst,2,6.83
8,F,5.8,Apple,AppleFirst,1,1.37
8,F,5.8,Lemon,AppleFirst,2,0.40
9,F,2.8,Lemon,LemonFirst,1,7.03
9,F,2.8,Apple,LemonFirst,2,3.63
10,M,3.8,Apple,AppleFirst,1,8.30
10,M,3.8,Lemon,AppleFirst,2,9.27
11,F,1.9,Lemon,LemonFirst,1,2.40
11,F,1.9,Apple,LemonFirst,2,1.83
12,M,3.8,Apple,AppleFirst,1,2.50
12,M,3.8,Lemon,AppleFirst,2,3.47
13,M,4.6,Lemon,LemonFirst,1,4.83
13,M,4.6,Apple,LemonFirst,2,3.13
14,M,4.6,Apple,AppleFirst,1,6.10
14,M,4.6,Lemon,AppleFirst,2,4.07
15,F,2.0,Lemon,LemonFirst,1,9.07
15,F,2.0,Apple,LemonFirst,2,7.47
16,M,11.4,Apple,AppleFirst,1,2.43
16,M,11.4,Lemon,AppleFirst,2,2.03
17,M,11.6,Lemon,LemonFirst,1,3.00
17,M,11.6,Apple,LemonFirst,2,4.63
18,F,6.5,Lemon,LemonFirst,1,8.57
18,F,6.5,Apple,LemonFirst,2,2.43
19,F,12.4,Apple,AppleFirst,1,2.23
19,F,12.4,Lemon,AppleFirst,2,2.03
20,F,5.7,Lemon,LemonFirst,1,5.73
20,F,5.7,Apple,LemonFirst,2,2.20
