CodeID,Sex,Age,Population,Likelihood,TrialType,Order,TrialNumber,LookingTime
1,F,17.6,Lemon,Poss,Expected ,ExpFirst,1,2.13
1,F,17.6,Lemon,Poss,Unexpected,ExpFirst,2,1.43
2,F,8.8,Apple,Poss,Expected ,ExpFirst,1,2.70
2,F,8.8,Apple,Poss,Unexpected,ExpFirst,2,3.60
3,M,7.9,Apple,Poss,Unexpected,UnexFirst,1,2.83
3,M,7.9,Apple,Poss,Expected ,UnexFirst,2,2.23
4,M,7.8,Apple,Poss,Expected ,ExpFirst,1,2.23
4,M,7.8,Apple,Poss,Unexpected,ExpFirst,2,0.97
5,F,7.6,Apple,Poss,Expected ,ExpFirst,1,6.00
5,F,7.6,Apple,Poss,Unexpected,ExpFirst,2,5.93
6,F,3.9,Lemon,Poss,Unexpected,UnexFirst,1,4.20
6,F,3.9,Lemon,Poss,Expected ,UnexFirst,2,3.37
7,F,2.9,Apple,Poss,Unexpected,UnexFirst,1,8.73
7,F,2.9,Apple,Poss,Expected ,UnexFirst,2,3.30
8,M,2.9,Apple,Poss,Unexpected,UnexFirst,1,7.03
8,M,2.9,Apple,Poss,Expected ,UnexFirst,2,4.43
9,F,2.9,Apple,Poss,Expected ,ExpFirst,1,1.63
9,F,2.9,Apple,Poss,Unexpected,ExpFirst,2,1.83
10,F,12.6,Lemon,Prob,Unexpected,UnexFirst,1,6.23
10,F,12.6,Lemon,Prob,Expected ,UnexFirst,2,1.47
11,M,3.8,Lemon,Prob,Expected ,ExpFirst,1,1.77
11,M,3.8,Lemon,Prob,Unexpected,ExpFirst,2,3.40
12,M,3.8,Apple,Poss,Expected ,ExpFirst,1,10.00
12,M,3.8,Apple,Poss,Unexpected,ExpFirst,2,2.97
13,F,2.9,Apple,Prob,Unexpected,UnexFirst,1,6.70
13,F,2.9,Apple,Prob,Expected ,UnexFirst,2,7.73
14,F,2.9,Lemon,Prob,Expected ,ExpFirst,1,3.57
14,F,2.9,Lemon,Prob,Unexpected,ExpFirst,2,3.53
15,M,1.9,Lemon,Poss,Unexpected,UnexFirst,1,10.00
15,M,1.9,Lemon,Poss,Expected ,UnexFirst,2,3.37
16,F,20.4,Lemon,Poss,Unexpected,UnexFirst,1,6.43
16,F,20.4,Lemon,Poss,Expected ,UnexFirst,2,2.40
17,F,19.3,Apple,Poss,Unexpected,UnexFirst,1,3.70
17,F,19.3,Apple,Poss,Expected ,UnexFirst,2,0.40
18,M,11.7,Apple,Prob,Unexpected,UnexFirst,1,10.00
18,M,11.7,Apple,Prob,Expected ,UnexFirst,2,3.90
19,F,10.8,Apple,Prob,Expected ,ExpFirst,1,0.80
19,F,10.8,Apple,Prob,Unexpected,ExpFirst,2,0.23
20,F,3.9,Lemon,Poss,Expected ,ExpFirst,1,5.43
20,F,3.9,Lemon,Poss,Unexpected,ExpFirst,2,2.23
21,M,2.9,Apple,Prob,Expected ,ExpFirst,1,7.10
21,M,2.9,Apple,Prob,Unexpected,ExpFirst,2,7.43
22,F,2,Apple,Prob,Unexpected,UnexFirst,1,6.47
22,F,2,Apple,Prob,Expected ,UnexFirst,2,6.33
23,M,17.5,Lemon,Poss,Expected ,ExpFirst,1,2.83
23,M,17.5,Lemon,Poss,Unexpected,ExpFirst,2,1.63
24,M,13.7,Lemon,Poss,Unexpected,UnexFirst,1,1.90
24,M,13.7,Lemon,Poss,Expected ,UnexFirst,2,1.40
25,M,13.7,Lemon,Prob,Expected ,ExpFirst,1,3.47
25,M,13.7,Lemon,Prob,Unexpected,ExpFirst,2,2.10
26,F,13.3,Lemon,Prob,Expected ,ExpFirst,1,1.87
26,F,13.3,Lemon,Prob,Unexpected,ExpFirst,2,3.13
27,F,5.8,Lemon,Poss,Unexpected,UnexFirst,1,3.87
27,F,5.8,Lemon,Poss,Expected ,UnexFirst,2,4.87
28,M,3.9,Lemon,Poss,Unexpected,UnexFirst,1,4.97
28,M,3.9,Lemon,Poss,Expected ,UnexFirst,2,2.53
29,M,3,Apple,Poss,Expected ,ExpFirst,1,7.00
29,M,3,Apple,Poss,Unexpected,ExpFirst,2,4.87
30,F,2.7,Lemon,Prob,Expected ,ExpFirst,1,2.53
