CodeID,Sex,Age,Population,Likelihood,TrialType,Order,TrialNumber,LookingTime
1,F,13.6,Apple,Prob,Expected ,ExpFirst,1,3.50
1,F,13.6,Apple,Prob,Unexpected,ExpFirst,2,2.23
2,F,12.5,Apple,Poss,Unexpected,UnexFirst,1,0.77
2,F,12.5,Apple,Poss,Expected ,UnexFirst,2,3.07
3,F,11.6,Apple,Poss,Unexpected,UnexFirst,1,2.37
3,F,11.6,Apple,Poss,Expected ,UnexFirst,2,2.03
4,M,11.7,Apple,Prob,Expected ,ExpFirst,1,6.10
4,M,11.7,Apple,Prob,Unexpected,ExpFirst,2,2.17
5,F,7.8,Lemon,Poss,Expected ,ExpFirst,1,1.20
5,F,7.8,Lemon,Poss,Unexpected,ExpFirst,2,4.53
6,M,4.7,Lemon,Prob,Expected ,ExpFirst,1,6.57
6,M,4.7,Lemon,Prob,Unexpected,ExpFirst,2,9.53
7,F,2.8,Apple,Prob,Unexpected,UnexFirst,1,6.87
7,F,2.8,Apple,Prob,Expected ,UnexFirst,2,6.97
8,F,3,Lemon,Prob,Unexpected,UnexFirst,1,7.13
8,F,3,Lemon,Prob,Expected ,UnexFirst,2,6.00
9,F,5.8,Apple,Prob,Expected ,ExpFirst,1,2.77
9,F,5.8,Apple,Prob,Unexpected,ExpFirst,2,1.73
10,F,2.9,Lemon,Poss,Expected ,ExpFirst,1,2.37
10,F,2.9,Lemon,Poss,Unexpected,ExpFirst,2,6.33
11,F,1.9,Lemon,Poss,Unexpected,UnexFirst,1,8.30
11,F,1.9,Lemon,Poss,Expected ,UnexFirst,2,9.80
12,M,15.7,Apple,Prob,Unexpected,UnexFirst,1,1.33
12,M,15.7,Apple,Prob,Expected ,UnexFirst,2,3.00
13,M,11.7,Lemon,Poss,Expected ,ExpFirst,1,5.50
13,M,11.7,Lemon,Poss,Unexpected,ExpFirst,2,5.00
14,M,7.8,Apple,Prob,Unexpected,UnexFirst,1,6.10
14,M,7.8,Apple,Prob,Expected ,UnexFirst,2,5.60
15,M,5.8,Lemon,Prob,Expected ,ExpFirst,1,4.10
15,M,5.8,Lemon,Prob,Unexpected,ExpFirst,2,5.77
16,M,2.9,Lemon,Prob,Unexpected,UnexFirst,1,7.37
16,M,2.9,Lemon,Prob,Expected ,UnexFirst,2,4.33
17,F,2.8,Lemon,Prob,Expected ,ExpFirst,1,9.83
17,F,2.8,Lemon,Prob,Unexpected,ExpFirst,2,9.47
18,M,1.9,Lemon,Poss,Expected ,ExpFirst,1,5.90
18,M,1.9,Lemon,Poss,Unexpected,ExpFirst,2,6.03
19,M,2,Apple,Poss,Unexpected,UnexFirst,1,4.90
19,M,2,Apple,Poss,Expected ,UnexFirst,2,7.07
20,F,2,Apple,Poss,Expected ,ExpFirst,1,6.87
20,F,2,Apple,Poss,Unexpected,ExpFirst,2,6.13
21,F,13.4,Lemon,Prob,Expected ,ExpFirst,1,1.47
21,F,13.4,Lemon,Prob,Unexpected,ExpFirst,2,4.00
22,F,11.7,Apple,Poss,Expected ,ExpFirst,1,4.23
22,F,11.7,Apple,Poss,Unexpected,ExpFirst,2,2.83
23,M,10.6,Apple,Poss,Expected ,ExpFirst,1,1.77
23,M,10.6,Apple,Poss,Unexpected,ExpFirst,2,4.17
24,F,10.6,Apple,Prob,Unexpected,UnexFirst,1,2.20
24,F,10.6,Apple,Prob,Expected ,UnexFirst,2,1.60
25,F,7.8,Apple,Poss,Expected ,ExpFirst,1,4.63
25,F,7.8,Apple,Poss,Unexpected,ExpFirst,2,3.23
26,M,7.7,Lemon,Poss,Unexpected,UnexFirst,1,7.60
26,M,7.7,Lemon,Poss,Expected ,UnexFirst,2,3.03
27,F,3.9,Apple,Poss,Unexpected,UnexFirst,1,8.50
27,F,3.9,Apple,Poss,Expected ,UnexFirst,2,8.20
28,F,11.7,Lemon,Poss,Unexpected,UnexFirst,1,4.77
28,F,11.7,Lemon,Poss,Expected ,UnexFirst,2,0.73
29,F,11.6,Lemon,Prob,Unexpected,UnexFirst,1,9.50
29,F,11.6,Lemon,Prob,Expected ,UnexFirst,2,8.37
30,M,10.8,Lemon,Poss,Unexpected,UnexFirst,1,4.53
30,M,10.8,Lemon,Poss,Expected ,UnexFirst,2,4.57
31,F,7.8,Lemon,Poss,Unexpected,UnexFirst,1,0.17
31,F,7.8,Lemon,Poss,Expected ,UnexFirst,2,6.00
32,F,3.8,Apple,Prob,Unexpected,UnexFirst,1,4.97
32,F,3.8,Apple,Prob,Expected ,UnexFirst,2,1.13
33,F,3.8,Lemon,Poss,Expected ,ExpFirst,1,8.80
33,F,3.8,Lemon,Poss,Unexpected,ExpFirst,2,6.23
34,M,3.5,Lemon,Prob,Unexpected,UnexFirst,1,2.83
34,M,3.5,Lemon,Prob,Expected ,UnexFirst,2,6.80
35,M,1.9,Apple,Poss,Expected ,ExpFirst,1,10.00
35,M,1.9,Apple,Poss,Unexpected,ExpFirst,2,7.00
36,M,1.7,Apple,Prob,Unexpected,UnexFirst,1,2.53
36,M,1.7,Apple,Prob,Expected ,UnexFirst,2,4.73
37,F,11.6,Lemon,Prob,Expected ,ExpFirst,1,3.73
37,F,11.6,Lemon,Prob,Unexpected,ExpFirst,2,1.47
38,F,8.7,Lemon,Poss,Unexpected,UnexFirst,1,3.23
38,F,8.7,Lemon,Poss,Expected ,UnexFirst,2,3.33
39,M,7.5,Apple,Poss,Unexpected,UnexFirst,1,8.70
39,M,7.5,Apple,Poss,Expected ,UnexFirst,2,5.80
40,M,5.8,Lemon,Prob,Unexpected,UnexFirst,1,0.87
40,M,5.8,Lemon,Prob,Expected ,UnexFirst,2,5.13
41,M,3.9,Lemon,Poss,Unexpected,UnexFirst,1,6.57
41,M,3.9,Lemon,Poss,Expected ,UnexFirst,2,6.53
42,F,3,Apple,Poss,Expected ,ExpFirst,1,2.67
42,F,3,Apple,Poss,Unexpected,ExpFirst,2,3.13
